energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
0.0,11.0,63.8,2.6,2.6,0.0,0.0,0.0,0.0,1583.0,0,0,0,0,0
373.0,9.0,81.0,27.5,27.0,3.0,1.2,0.0,7.0,250.0,0,0,0,0,0
452.83,9.71,60.77,4.04,0.0,18.99,9.85,0.09,0.0,763.45,0,0,0,0,0
2000.0,8.7,85.0,7.0,6.5,0.0,0.0,0.0,0.0,548.0,0,0,0,0,0
566.0,8.7,51.4,46.6,38.1,36.8,19.2,0.1,0.0,104.0,0,0,0,0,0
37.0,0.0,9.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
250.0,3.2,31.3,20.7,17.1,12.6,5.5,0.08,1.0,44.0,0,0,0,0,0
557.0,6.0,57.3,43.0,43.0,33.7,20.4,0.0,0.0,0.0,0,0,0,0,0
554.0,14.2,43.0,10.0,10.0,36.1,21.5,0.0,0.0,0.0,0,0,0,0,0
444.0,3.3,72.9,55.5,52.6,15.9,10.1,0.1,0.0,170.0,0,0,0,0,0
376.0,8.2,85.3,26.5,25.5,1.3,0.4,0.0,5.1,480.0,0,0,0,0,0
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0,0,0,0
155.0,3.0,17.6,15.0,11.5,8.4,5.1,0.3,0.0,31.0,0,0,0,0,0
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
428.0,5.5,53.5,38.2,34.6,24.0,23.8,0.04,0.0,88.7,0,0,0,0,0
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0
105.0,0.1,10.5,10.1,10.1,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0
405.0,8.8,80.0,16.0,14.8,5.7,1.6,0.0,8.7,185.0,0,0,0,0,0
501.0,5.5,53.5,37.4,37.4,29.4,17.7,0.0,0.0,0.0,0,0,0,0,0
541.8,8.0,54.4,42.2,35.3,33.1,17.7,0.1,0.0,236.0,0,0,0,0,0
0.0,8.2,62.94,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
516.0,7.7,63.6,51.6,43.0,25.8,17.5,0.1,0.0,236.0,0,0,0,0,0
173.0,10.0,27.3,1.5,0.0,5.8,1.2,0.0,5.0,0.0,0,0,0,0,0
469.0,3.5,75.9,70.8,68.2,17.5,17.1,0.2,0.0,38.0,0,0,0,0,0
532.0,7.8,58.1,50.9,37.7,30.4,18.7,0.1,0.0,104.0,0,0,0,0,0
297.0,3.6,31.4,24.8,18.2,18.9,13.7,0.2,0.0,24.0,0,0,0,0,0
0.0,9.8,64.7,5.0,5.0,0.0,0.0,0.0,0.0,1673.0,0,0,0,0,0
170.0,10.0,27.5,0.5,0.0,8.5,1.2,0.0,5.0,0.0,0,0,0,0,0
0.0,3.2,25.1,9.8,8.1,0.0,0.0,0.0,0.0,11.3,0,0,0,0,0
0.0,8.9,79.8,19.4,16.0,0.0,0.0,0.0,0.0,266.0,0,0,0,0,0
45.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,35.0,0,0,0,0,0
124.0,2.3,15.5,14.4,12.1,6.0,4.1,0.1,0.4,27.0,0,0,0,0,0
44.0,0.0,10.98,8.9,8.9,0.0,0.0,0.0,0.0,36.08,0,0,0,0,0
46.0,0.1,11.5,11.0,0.0,0.0,0.0,0.0,0.0,529.5,0,0,0,0,0
587.0,15.1,36.0,0.0,0.0,42.3,25.7,0.0,0.0,0.0,0,0,0,0,0
516.0,7.7,63.6,51.6,43.0,25.8,17.5,0.1,0.0,236.0,0,0,0,0,0
233.0,0.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,440.00000000000006,0,0,0,0,0
203.0,2.9,25.4,24.8,12.6,10.0,6.0,0.3,0.6,55.2,0,0,0,0,0
96.0,1.9,12.1,11.7,8.8,4.5,3.0,0.17,0.1,31.0,0,0,0,0,0
389.0,8.0,79.3,21.7,9.7,5.9,1.0,0.0,6.8,131.0,0,0,0,0,0
598.0,7.6,40.7,24.4,23.3,47.4,32.1,0.1,0.0,18.0,0,0,0,0,0
0.0,3.5,18.6,17.8,17.8,0.0,0.0,0.0,0.0,31.8,0,0,0,0,0
215.0,3.7,20.8,20.8,15.0,13.0,7.8,0.5,0.0,52.0,0,0,0,0,0
0.0,9.6,62.5,3.6,1.5,0.0,0.0,0.0,0.0,1485.3,0,0,0,0,0
