energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,artificial_colors,processed_oils,ultra_processed,score
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,1,65
373.0,9.0,81.0,27.5,27.0,3.0,1.2,0.0,0,250.0,0,0,0,1,0,55
452.83,9.71,60.77,4.04,0.0,18.99,9.85,0.09,0,763.45,1,0,0,1,1,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
566.0,8.7,51.4,46.6,38.1,36.8,19.2,0.1,0,104.0,0,0,0,0,0,50
37.0,0.0,9.0,9.2,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
250.0,3.2,31.3,20.7,17.1,12.6,5.5,0.08,0,44.0,0,0,0,1,1,60
557.0,6.0,57.3,43.0,43.0,33.7,20.4,0.0,0,0.0,0,0,0,0,1,35
554.0,14.2,43.0,10.0,10.0,36.1,21.5,0.0,0,0.0,0,0,0,0,1,75
444.0,3.3,72.9,55.5,52.6,15.9,10.1,0.1,0,170.0,0,0,0,1,0,45
376.0,8.2,85.3,26.5,25.5,1.3,0.4,0.0,0,480.0,0,0,0,0,0,65
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,41.0,0,0,0,0,0,100
155.0,3.0,17.6,15.0,11.5,8.4,5.1,0.3,0,31.0,0,0,0,0,0,100
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
84.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
428.0,5.5,53.5,38.2,34.6,24.0,23.8,0.04,0,88.7,0,0,0,0,0,55
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
105.0,0.1,10.5,10.1,10.1,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
405.0,8.8,80.0,16.0,14.8,5.7,1.6,0.0,0,185.0,0,0,0,1,0,90
